,Overall Rank,City,Total Score,Emotional & Physical Well-Being,Income & Employment,Community & Environment
132,133,"Las Vegas, NV",48.61,124,169,95
133,134,"Columbus, OH",48.28,128,138,145
134,135,"North Las Vegas, NV",48.21,135,175,61
135,136,"Buffalo, NY",48.2,121,136,157
136,137,"Greensboro, NC",48.12,129,70,167
137,138,"Lexington-Fayette, KY",47.9,134,121,144
138,139,"Corpus Christi, TX",47.54,137,62,159
139,140,"Huntsville, AL",46.79,152,119,79
140,141,"Philadelphia, PA",46.78,148,146,75
141,141,"Wichita, KS",46.78,143,127,130
142,143,"Amarillo, TX",46.75,159,76,70
143,144,"Lewiston, ME",46.71,166,12,78
144,145,"Salem, OR",46.39,144,41,175
145,146,"Newport News, VA",46.38,141,174,72
146,147,"New Orleans, LA",46.35,146,111,146
147,148,"Oklahoma City, OK",46.32,155,135,82
148,149,"Baltimore, MD",45.97,142,178,84
149,150,"Richmond, VA",45.97,136,176,133
150,151,"Dover, DE",45.74,151,92,155
151,152,"Kansas City, MO",45.61,140,128,166
152,153,"San Bernardino, CA",45.36,149,137,140
153,154,"Cincinnati, OH",45.15,139,147,163
154,155,"Fort Wayne, IN",45.0,154,149,117
155,156,"Springfield, MO",44.95,167,44,103
156,157,"Lubbock, TX",44.89,157,23,168
157,158,"Baton Rouge, LA",44.37,156,90,152
158,159,"Louisville, KY",44.1,158,151,111
159,160,"Indianapolis, IN",43.7,150,177,131
160,161,"St. Louis, MO",43.68,153,160,149
161,162,"Tulsa, OK",43.35,163,117,138
162,163,"Little Rock, AR",43.25,164,133,106
163,164,"Knoxville, TN",43.1,169,59,94
164,165,"Akron, OH",42.29,162,168,112
165,166,"Chattanooga, TN",42.24,165,141,120
166,167,"Columbus, GA",40.9,177,131,65
167,168,"Fayetteville, NC",40.83,161,155,171
168,169,"Jackson, MS",40.6,160,159,174
169,170,"Birmingham, AL",39.54,168,158,162
170,171,"Toledo, OH",39.17,172,171,127
171,172,"Charleston, WV",39.13,173,81,173
172,173,"Shreveport, LA",39.01,175,173,71
173,174,"Mobile, AL",38.94,171,172,124
174,175,"Fort Smith, AR",37.45,180,61,158
175,176,"Augusta, GA",36.64,178,162,135
176,177,"Cleveland, OH",36.52,170,156,180
177,178,"Montgomery, AL",35.54,174,180,161
178,179,"Huntington, WV",35.53,182,39,141
179,180,"Memphis, TN",34.86,176,181,172
180,181,"Gulfport, MS",34.71,181,153,151
181,182,"Detroit, MI",32.31,179,179,177
