,City,State,Max_temp,Humidity,Cloudiness,Windspeed,Date,Time
87,Providence, RI,10.89,96,100,5.14,2022-03-12,16:47:19
88,Irving, TX,10.21,34,0,0.0,2022-03-12,16:43:18
89,Manchester, NH,11.8,61,40,4.12,2022-03-12,16:48:12
90,Orlando, FL,20.98,78,100,7.2,2022-03-12,16:41:21
91,Grand Rapids, MI,-6.97,65,100,8.75,2022-03-12,16:48:12
92,Atlanta, GA,1.9,59,100,9.77,2022-03-12,16:48:13
93,Hialeah, FL,32.23,59,20,10.8,2022-03-12,16:48:13
94,Tallahassee, FL,9.49,60,20,12.35,2022-03-12,16:45:35
95,Ontario, CA,21.52,20,40,0.89,2022-03-12,16:47:10
96,Garland, TX,9.47,34,0,1.79,2022-03-12,16:43:57
97,Henderson, NV,16.76,18,0,0.0,2022-03-12,16:48:14
98,Fontana, CA,21.05,20,40,2.68,2022-03-12,16:47:43
99,St. Petersburg, FL,2.58,82,0,2.0,2022-03-12,16:46:15
100,Modesto, CA,15.05,59,0,1.54,2022-03-12,16:44:21
101,Moreno Valley, CA,20.53,18,0,1.54,2022-03-12,16:48:14
102,Fort Worth, TX,10.08,31,0,2.06,2022-03-12,16:47:29
103,Riverside, CA,19.92,18,0,1.54,2022-03-12,16:48:15
104,Billings, MT,9.73,51,75,6.69,2022-03-12,16:48:15
105,Spokane, WA,4.83,80,0,3.09,2022-03-12,16:41:08
106,Arlington, TX,10.01,32,0,2.06,2022-03-12,16:40:58
107,Glendale, AZ,19.57,20,0,5.14,2022-03-12,16:48:16
108,Nashville, TN,-2.16,54,0,10.29,2022-03-12,16:45:24
109,Worcester, MA,5.47,93,100,5.66,2022-03-12,16:48:16
110,Dallas, TX,9.86,32,0,0.89,2022-03-12,16:38:30
111,Houston, TX,10.72,41,0,5.66,2022-03-12,16:42:26
112,Norfolk, VA,9.86,96,100,2.57,2022-03-12,16:44:37
113,Milwaukee, WI,-9.04,48,20,7.2,2022-03-12,16:46:21
114,Laredo, TX,9.16,23,0,4.63,2022-03-12,16:48:17
115,Wilmington, DE,19.95,88,100,8.75,2022-03-12,16:48:18
116,Tucson, AZ,18.01,18,0,6.69,2022-03-12,16:43:28
117,New Haven, CT,1.89,86,100,13.41,2022-03-12,16:48:18
118,Phoenix, AZ,19.34,21,0,5.14,2022-03-12,16:43:43
